case_id,difficulty,model,provider,result_status,experiment,input_cim,generated_entities,generated_requirements_dsl,generated_design_dsl,generated_code,entity_precision,entity_recall,entity_f1,dsl_correct_rate,dsl_syntax_validity,code_correct_rate,syntax_errors,semantic_errors,semantic_rule_coverage,business_rule_inconsistencies,execution_time_seconds,estimated_cost_usd,end_to_end_success,stage_failure_count,notes
scenario_1_hardware,medium,heuristic_baseline,local,baseline_or_mock_only,A_full_pipeline,"A personal computer contains a motherboard, processor, memory modules, storage devices and peripheral devices. The computer starts, shuts down and reports hardware status.",personal;computer;contains;motherboard;processor;memory;modules;storage;devices;peripheral;starts;shuts;down;reports;hardware;status,"Class Computer:
Attributes: personal, contains, modules, devices, starts
Methods: start
Class Motherboard:
Class Processor:
Class Memory:
Class StorageDevice:
Relation: Computer composition Motherboard
Relation: Computer association Processor",,"class Computer:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, personal, contains, modules, devices, starts, motherboard, processor):
        self.personal = personal
        self.contains = contains
        self.modules = modules
        self.devices = devices
        self.starts = starts
        self.motherboard = motherboard
        self.processor = processor
    def start(self):
        pass

class Motherboard:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Processor:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Memory:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class StorageDevice:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.4375,0.7777777777777778,0.56,0.7857142857142857,1.0,1.0,0,1,0.0,0,0.0003218289998585533,0.0,1,0,heuristic_dsl
scenario_1_hardware,medium,heuristic_baseline,local,baseline_or_mock_only,B_no_dsl,"A personal computer contains a motherboard, processor, memory modules, storage devices and peripheral devices. The computer starts, shuts down and reports hardware status.",personal;computer;contains;motherboard;processor;memory;modules;storage;devices;peripheral;starts;shuts;down;reports;hardware;status,,,"class Personal:
    # Regra de negocio: Gerado diretamente do CIM sem DSL
    def __init__(self, computer, contains, motherboard, processor, memory):
        self.computer = computer
        self.contains = contains
        self.motherboard = motherboard
        self.processor = processor
        self.memory = memory
",0.4375,0.7777777777777778,0.56,0.0,0.0,0.5,0,1,0.0,0,3.7135999718884705e-05,0.0,1,0,heuristic_direct_code
scenario_1_hardware,medium,heuristic_baseline,local,baseline_or_mock_only,C_multilayer_dsl,"A personal computer contains a motherboard, processor, memory modules, storage devices and peripheral devices. The computer starts, shuts down and reports hardware status.",personal;computer;contains;motherboard;processor;memory;modules;storage;devices;peripheral;starts;shuts;down;reports;hardware;status,"RequirementEntity: Computer
RequirementEntity: Motherboard
RequirementEntity: Processor
RequirementEntity: Memory
RequirementEntity: StorageDevice
# TODO: extensão experimental; o artigo usa uma DSL intermediaria principal, nao multiplas camadas.","Class Computer:
Attributes: personal, contains, modules, devices, starts
Methods: start
Class Motherboard:
Class Processor:
Class Memory:
Class StorageDevice:
Relation: Computer composition Motherboard
Relation: Computer association Processor","class Computer:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self, personal, contains, modules, devices, starts, motherboard, processor):
        self.personal = personal
        self.contains = contains
        self.modules = modules
        self.devices = devices
        self.starts = starts
        self.motherboard = motherboard
        self.processor = processor
    def start(self):
        pass

class Motherboard:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Processor:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Memory:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class StorageDevice:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass
",0.4375,0.7777777777777778,0.56,0.35714285714285715,1.0,1.0,0,1,0.0,0,0.00012124100021537743,0.0,1,0,heuristic_multilayer_dsl
scenario_1_hardware,medium,heuristic_baseline,local,baseline_or_mock_only,E_generalization,"A personal computer contains a motherboard, processor, memory modules, storage devices and peripheral devices. The computer starts, shuts down and reports hardware status.",personal;computer;contains;motherboard;processor;memory;modules;storage;devices;peripheral;starts;shuts;down;reports;hardware;status,"Class Computer:
Attributes: personal, contains, modules, devices, starts
Methods: start
Class Motherboard:
Class Processor:
Class Memory:
Class StorageDevice:
Relation: Computer composition Motherboard
Relation: Computer association Processor",,"class Computer:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, personal, contains, modules, devices, starts, motherboard, processor):
        self.personal = personal
        self.contains = contains
        self.modules = modules
        self.devices = devices
        self.starts = starts
        self.motherboard = motherboard
        self.processor = processor
    def start(self):
        pass

class Motherboard:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Processor:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Memory:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class StorageDevice:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.4375,0.7777777777777778,0.56,0.7857142857142857,1.0,1.0,0,1,0.0,0,0.00010711999993873178,0.0,1,0,heuristic_dsl
scenario_1_hardware,medium,heuristic_baseline,local,baseline_or_mock_only,D_business_rule_change,"A personal computer contains a motherboard, processor, memory modules, storage devices and peripheral devices. The computer starts, shuts down and reports hardware status.",personal;computer;contains;motherboard;processor;memory;modules;storage;devices;peripheral;starts;shuts;down;reports;hardware;status,"Class Computer:
Attributes: personal, contains, modules, devices, starts
Methods: start
Class Motherboard:
Class Processor:
Class Memory:
Class StorageDevice:
Relation: Computer composition Motherboard
Relation: Computer association Processor",,"class Computer:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, personal, contains, modules, devices, starts, motherboard, processor):
        self.personal = personal
        self.contains = contains
        self.modules = modules
        self.devices = devices
        self.starts = starts
        self.motherboard = motherboard
        self.processor = processor
    def start(self):
        pass

class Motherboard:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Processor:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Memory:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class StorageDevice:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

# TODO: regra de negocio mudou; artefato requer reconciliacao manual.
",0.4375,0.7777777777777778,0.56,0.7857142857142857,1.0,1.0,0,1,0.0,1,9.629300029700971e-05,0.0,0,1,heuristic_dsl | business_rule_change_requested=Storage devices may be external or internal and peripherals can be optional | user_modification=User manually renamed StorageDevice to Drive in the DSL.
scenario_2_editorial,medium,heuristic_baseline,local,baseline_or_mock_only,A_full_pipeline,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,"Class Document:
Attributes: editorial, sections, paragraphs, figures, references
Methods: write, review, validate
Class Section:
Class Paragraph:
Class Figure:
Class Reference:
Relation: Document association Section
Relation: Document association Paragraph",,"class Document:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, editorial, sections, paragraphs, figures, references, section, paragraph):
        self.editorial = editorial
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
        self.section = section
        self.paragraph = paragraph
    def write(self):
        pass
    def review(self):
        pass
    def validate(self):
        pass

class Section:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Paragraph:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Figure:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Reference:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.2727272727272727,0.3333333333333333,0.3,0.9333333333333333,1.0,0.5,0,1,0.0,0,0.00010657799975888338,0.0,0,1,heuristic_dsl
scenario_2_editorial,medium,heuristic_baseline,local,baseline_or_mock_only,B_no_dsl,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,,,"class Editorial:
    # Regra de negocio: Gerado diretamente do CIM sem DSL
    def __init__(self, document, sections, paragraphs, figures, references):
        self.document = document
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
",0.2727272727272727,0.3333333333333333,0.3,0.0,0.0,0.25,0,1,0.0,0,2.6258999696437968e-05,0.0,0,2,heuristic_direct_code
scenario_2_editorial,medium,heuristic_baseline,local,baseline_or_mock_only,C_multilayer_dsl,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,"RequirementEntity: Document
RequirementEntity: Section
RequirementEntity: Paragraph
RequirementEntity: Figure
RequirementEntity: Reference
# TODO: extensão experimental; o artigo usa uma DSL intermediaria principal, nao multiplas camadas.","Class Document:
Attributes: editorial, sections, paragraphs, figures, references
Methods: write, review, validate
Class Section:
Class Paragraph:
Class Figure:
Class Reference:
Relation: Document association Section
Relation: Document association Paragraph","class Document:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self, editorial, sections, paragraphs, figures, references, section, paragraph):
        self.editorial = editorial
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
        self.section = section
        self.paragraph = paragraph
    def write(self):
        pass
    def review(self):
        pass
    def validate(self):
        pass

class Section:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Paragraph:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Figure:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Reference:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass
",0.2727272727272727,0.3333333333333333,0.3,0.06666666666666667,1.0,0.5,0,1,0.0,0,0.00010180200024478836,0.0,0,1,heuristic_multilayer_dsl
scenario_2_editorial,medium,heuristic_baseline,local,baseline_or_mock_only,E_generalization,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,"Class Document:
Attributes: editorial, sections, paragraphs, figures, references
Methods: write, review, validate
Class Section:
Class Paragraph:
Class Figure:
Class Reference:
Relation: Document association Section
Relation: Document association Paragraph",,"class Document:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, editorial, sections, paragraphs, figures, references, section, paragraph):
        self.editorial = editorial
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
        self.section = section
        self.paragraph = paragraph
    def write(self):
        pass
    def review(self):
        pass
    def validate(self):
        pass

class Section:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Paragraph:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Figure:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Reference:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.2727272727272727,0.3333333333333333,0.3,0.9333333333333333,1.0,0.5,0,1,0.0,0,9.357999988424126e-05,0.0,0,1,heuristic_dsl
scenario_2_editorial,medium,heuristic_baseline,local,baseline_or_mock_only,D_business_rule_change,"An editorial document has sections, paragraphs, figures and references. An author writes the document and an editor reviews and validates it.",editorial;document;sections;paragraphs;figures;references;author;writes;editor;reviews;validates,"Class Document:
Attributes: editorial, sections, paragraphs, figures, references
Methods: write, review, validate
Class Section:
Class Paragraph:
Class Figure:
Class Reference:
Relation: Document association Section
Relation: Document association Paragraph",,"class Document:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, editorial, sections, paragraphs, figures, references, section, paragraph):
        self.editorial = editorial
        self.sections = sections
        self.paragraphs = paragraphs
        self.figures = figures
        self.references = references
        self.section = section
        self.paragraph = paragraph
    def write(self):
        pass
    def review(self):
        pass
    def validate(self):
        pass

class Section:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Paragraph:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Figure:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Reference:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

# TODO: regra de negocio mudou; artefato requer reconciliacao manual.
",0.2727272727272727,0.3333333333333333,0.3,0.9333333333333333,1.0,0.5,0,1,0.0,1,0.00012915200022689532,0.0,0,2,heuristic_dsl | business_rule_change_requested=Reviewer approval is required before editor validation | user_modification=User added Reviewer as a class after initial generation.
scenario_3_library,complex,heuristic_baseline,local,baseline_or_mock_only,A_full_pipeline,"A municipal library manages books, members and loans. A member borrows books, returns loans and may pay penalties for late returns.",municipal;library;manages;books;members;loans;member;borrows;returns;may;pay;penalties;for;late,"Class Library:
Attributes: municipal, manages, books, members, loans
Methods: manage, borrow, return, pay
Class Book:
Class Member:
Class Loan:
Relation: Library association Book
Relation: Library association Member",,"class Library:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, municipal, manages, books, members, loans, book, member):
        self.municipal = municipal
        self.manages = manages
        self.books = books
        self.members = members
        self.loans = loans
        self.book = book
        self.member = member
    def manage(self):
        pass
    def borrow(self):
        pass
    def return_value(self):
        pass
    def pay(self):
        pass

class Book:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Member:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Loan:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.14285714285714285,0.2857142857142857,0.19047619047619047,0.8333333333333334,1.0,1.0,0,1,0.0,0,9.724499977892265e-05,0.0,0,1,heuristic_dsl
scenario_3_library,complex,heuristic_baseline,local,baseline_or_mock_only,B_no_dsl,"A municipal library manages books, members and loans. A member borrows books, returns loans and may pay penalties for late returns.",municipal;library;manages;books;members;loans;member;borrows;returns;may;pay;penalties;for;late,,,"class Municipal:
    # Regra de negocio: Gerado diretamente do CIM sem DSL
    def __init__(self, library, manages, books, members, loans):
        self.library = library
        self.manages = manages
        self.books = books
        self.members = members
        self.loans = loans
",0.14285714285714285,0.2857142857142857,0.19047619047619047,0.0,0.0,0.0,0,1,0.0,0,2.479700015101116e-05,0.0,0,2,heuristic_direct_code
scenario_3_library,complex,heuristic_baseline,local,baseline_or_mock_only,C_multilayer_dsl,"A municipal library manages books, members and loans. A member borrows books, returns loans and may pay penalties for late returns.",municipal;library;manages;books;members;loans;member;borrows;returns;may;pay;penalties;for;late,"RequirementEntity: Library
RequirementEntity: Book
RequirementEntity: Member
RequirementEntity: Loan
# TODO: extensão experimental; o artigo usa uma DSL intermediaria principal, nao multiplas camadas.","Class Library:
Attributes: municipal, manages, books, members, loans
Methods: manage, borrow, return, pay
Class Book:
Class Member:
Class Loan:
Relation: Library association Book
Relation: Library association Member","class Library:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self, municipal, manages, books, members, loans, book, member):
        self.municipal = municipal
        self.manages = manages
        self.books = books
        self.members = members
        self.loans = loans
        self.book = book
        self.member = member
    def manage(self):
        pass
    def borrow(self):
        pass
    def return_value(self):
        pass
    def pay(self):
        pass

class Book:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Member:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass

class Loan:
    # Regra de negocio: Derivada de DSL de requisitos e design
    def __init__(self):
        pass
",0.14285714285714285,0.2857142857142857,0.19047619047619047,0.3333333333333333,1.0,1.0,0,1,0.0,0,8.87220003278344e-05,0.0,0,1,heuristic_multilayer_dsl
scenario_3_library,complex,heuristic_baseline,local,baseline_or_mock_only,E_generalization,"A municipal library manages books, members and loans. A member borrows books, returns loans and may pay penalties for late returns.",municipal;library;manages;books;members;loans;member;borrows;returns;may;pay;penalties;for;late,"Class Library:
Attributes: municipal, manages, books, members, loans
Methods: manage, borrow, return, pay
Class Book:
Class Member:
Class Loan:
Relation: Library association Book
Relation: Library association Member",,"class Library:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, municipal, manages, books, members, loans, book, member):
        self.municipal = municipal
        self.manages = manages
        self.books = books
        self.members = members
        self.loans = loans
        self.book = book
        self.member = member
    def manage(self):
        pass
    def borrow(self):
        pass
    def return_value(self):
        pass
    def pay(self):
        pass

class Book:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Member:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Loan:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass
",0.14285714285714285,0.2857142857142857,0.19047619047619047,0.8333333333333334,1.0,1.0,0,1,0.0,0,9.916700037138071e-05,0.0,0,1,heuristic_dsl
scenario_3_library,complex,heuristic_baseline,local,baseline_or_mock_only,D_business_rule_change,"A municipal library manages books, members and loans. A member borrows books, returns loans and may pay penalties for late returns.",municipal;library;manages;books;members;loans;member;borrows;returns;may;pay;penalties;for;late,"Class Library:
Attributes: municipal, manages, books, members, loans
Methods: manage, borrow, return, pay
Class Book:
Class Member:
Class Loan:
Relation: Library association Book
Relation: Library association Member",,"class Library:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self, municipal, manages, books, members, loans, book, member):
        self.municipal = municipal
        self.manages = manages
        self.books = books
        self.members = members
        self.loans = loans
        self.book = book
        self.member = member
    def manage(self):
        pass
    def borrow(self):
        pass
    def return_value(self):
        pass
    def pay(self):
        pass

class Book:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Member:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

class Loan:
    # Regra de negocio: Pipeline aproximado inspirado no artigo; codigo esqueleto Python.
    def __init__(self):
        pass

# TODO: regra de negocio mudou; artefato requer reconciliacao manual.
",0.14285714285714285,0.2857142857142857,0.19047619047619047,0.8333333333333334,1.0,1.0,0,1,0.0,1,8.403499987252872e-05,0.0,0,2,heuristic_dsl | business_rule_change_requested=Late loans create a penalty and block new borrowing until payment | user_modification=User added Penalty to the generated DSL and code skeleton.
